1.E4B983|ナイ;ダイ;ノ;アイ#の;すなわ.ち;なんじ#おさむ;お;のり|from, possessive particle, whereupon, accordingly|enclitique "no", de, a la suite de quoi, par conséquence|de (partícula posesiva), tú, qué hora|
1.E4B984|#し.める;して#|to find a place to dwell, sum, measurement of paper, to do, adding up, bundle, 8.5 lb, (kokuji)|||
1.E4B985|キュウ;ク#ひさ.しい#きゅ;わ;なが;ひさ;ひさし|long time, old story|longtemps, vieille histoire|mucho tiempo, largo tiempo, largo, continuado por mucho tiempo|
1.E4B987|タク;チャク##|to depend on, to entrust with|||
1.E4B988|エウ##|interrogative particle, repetition of a tune small, tender|||
1.E4B98B|シ#の;これ;ゆく;この#ゆき;いたる;あき;つな;ゆみ;くに;のぶ;ひさ;ひで|of, this|de, ceci, avancer (radical shinnyuu)|esto, de (partícula posesiva)|
1.E4B98D|サ;サク#-なが.ら;たちま.ち#|though, notwithstanding, while, during, both, all|||
1.E4B98E|コ;オ#か;ああ;かな;や;よ;を#|question mark, ?|||
1.E4B98F|ボウ#とぼ.しい;とも.しい#|destitution, scarce, limited|insuffisant, limité, indigent|escaso, limitado, pobre, insuficiente|
1.E4B991|ギン;ゴン;シュウ#ならびたつ#|stand side by side, assemble|||
1.E4B995|コ#とら#|tiger, brave, fierce, surname|||
1.E4B996|カイ#そむ.く;もとる#|oppose, disobey|||
1.E4B997|ジョウ;ショウ#の.る;-の.り;の.せる#のり|ride, power, multiplication, record, counter for vehicles, board, mount, join|monter, prendre (train, ...), embarquer, chevaucher, profiter, multiplication, mentionner, compteur de véhicules, se joindre à|montar, subir a, montarse, colocar algo sobre|
1.E4B998|ジョウ#の.る;の.せる#|power, multiplication, record, counter for vehicles|||
1.E4B999|オツ;イツ#おと-;きのと#|the latter, duplicate, strange, witty, fishhook radical (no. 5)|radical hameçon (no. 5), chic, signe du 2ème tronc céleste, dernier, second, étrange|segundo, duplicado, extraño, ingenioso, elegante|
1.E4B99A|イン;オン#かく.す;かく.れる;かか.す;よ.る#|hidden, mysterious, secret, to conceal, small, minute, fishhook radical variant (no. 5)|||
1.E4B99C|バ;メ#やぶにらみ#|to squint, what? huh? (Cant.)|||
1.E4B99D|キュウ;ク#ここの;ここの.つ#いちじく;いちのく;この;ひさし|nine|neuf|nueve, 9|
1.E4B99E|コツ;キツ;キ;キケ;コチ#こ.う#|beg, invite, ask|mendier, demander, inviter à|petición, imploración, invitación, pedir, implorar, invitar|
1.E4B99F|ヤ;エ#なり;か;また#し|to be (classical)||ser|
1.E4B9A2|ガイ#たわ;たお#|mountain saddle|||
1.E4B9A3|キュウ##||||
1.E4B9A8|シ#はじ.める;はじ.まる#|the beginning, to start, to begin, to be the first|||
1.E4B9A9|ケイ#うらな.う#|to divine|||
