1.2D2D2D|0|
1.E4AD9C|184+12|
1.E4AD9D|184+13|
1.E4AD9E|184+13|
1.E4AD9F|184+13|
1.E4ADA0|184+13|
1.E4ADA1|184+14|
1.E4ADA2|184+14|
1.E4ADA3|184+14|
1.E4ADA4|184+14|
1.E4ADA5|184+15|
1.E4ADA6|184+17|
1.E4ADA7|184+17|
1.E4ADA8|184+18|
1.E4ADA9|184+19|
1.E4ADAA|184+12|
1.E4ADB4|187+2|
1.E4ADB5|187+3|
1.E4ADB6|187+3|
1.E4ADB7|187+4|
1.E4ADB8|187+4|
1.E4ADB9|187+4|
1.E4ADBA|187+4|
1.E4ADBB|187+4|
1.E4ADBC|187+4|
1.E4ADBD|187+4|
1.E4ADBE|187+4|
1.E4ADBF|187+5|
1.E4AE80|187+5|
1.E4AE81|187+5|
1.E4AE82|187+5|
1.E4AE83|187+5|
1.E4AE84|187+5|
1.E4AE85|187+5|
1.E4AE86|187+6|
1.E4AE87|187+6|
1.E4AE88|187+6|
1.E4AE89|187+6|
1.E4AE8A|187+6|
1.E4AE8B|187+6|
1.E4AE8C|187+6|
1.E4AE8D|187+6|
1.E4AE8E|187+7|
1.E4AE8F|187+7|
1.E4AE90|187+7|
1.E4AE91|187+7|
1.E4AE92|187+7|
1.E4AE93|187+8|
1.E4AE94|187+8|
1.E4AE95|187+8|
1.E4AE96|187+8|
1.E4AE97|187+8|
1.E4AE98|187+8|
1.E4AE99|187+8|
1.E4AE9A|187+8|
1.E4AE9B|187+8|
1.E4AE9C|187+9|
1.E4AE9D|187+9|
1.E4AE9E|187+9|
1.E4AE9F|187+9|
1.E4AEA0|187+9|
1.E4AEA1|187+9|
1.E4AEA2|187+9|
1.E4AEA3|187+10|
1.E4AEA4|187+10|
1.E4AEA5|187+10|
1.E4AEA6|187+10|
1.E4AEA7|187+10|
1.E4AEA8|187+10|
1.E4AEA9|187+10|
1.E4AEAA|187+11|
1.E4AEAB|187+11|
1.E4AEAC|187+11|
1.E4AEAD|187+11|
1.E4AEAE|187+11|
1.E4AEAF|187+11|
1.E4AEB0|187+11|
1.E4AEB1|187+11|
1.E4AEB2|187+12|
1.E4AEB3|187+12|
1.E4AEB4|187+12|
1.E4AEB5|187+12|
1.E4AEB6|187+12|
1.E4AEB7|187+13|
1.E4AEB8|187+13|
1.E4AEB9|187+13|
1.E4AEBA|187+14|
1.E4AEBB|187+14|
1.E4AEBC|187+14|
1.E4AEBD|187+15|
1.E4AEBE|187+16|
1.E4AEBF|187+17|
1.E4AF80|187+18|
1.E4AF81|187+19|
1.E4AF82|187+24|
1.E4AF83|187+6|
1.E4AF84|187+7|
1.E4AF85|187+10|
1.E4AFA7|189+2|
1.E4AFA8|189+3|
1.E4AFA9|189+4|
1.E4AFAA|189+9|
1.E4AFAB|189+12|
1.E4AFAC|189+15|
1.E4B0B2|195+1|
1.E4B0B3|195+2|
1.E4B0B4|195+3|
1.E4B0B5|195+3|
1.E4B0B6|195+3|
1.E4B0B7|195+4|
1.E4B0B8|195+4|
1.E4B0B9|195+4|
1.E4B0BA|195+4|
1.E4B0BB|195+4|
1.E4B0BC|195+4|
1.E4B0BD|195+4|
1.E4B0BE|195+4|
1.E4B0BF|195+5|
1.E4B180|195+5|
1.E4B181|195+5|
1.E4B182|195+5|
1.E4B183|195+5|
1.E4B184|195+5|
1.E4B185|195+5|
1.E4B186|195+5|
1.E4B187|195+5|
1.E4B188|195+5|
1.E4B189|195+5|
1.E4B18A|195+6|
1.E4B18B|195+6|
1.E4B18C|195+6|
1.E4B18D|195+6|
1.E4B18E|195+6|
1.E4B18F|195+7|
1.E4B190|195+7|
1.E4B191|195+7|
1.E4B192|195+7|
1.E4B193|195+7|
1.E4B194|195+7|
1.E4B195|195+7|
1.E4B196|195+7|
1.E4B197|195+7|
1.E4B198|195+7|
1.E4B199|195+8|
1.E4B19A|195+8|
1.E4B19B|195+8|
1.E4B19C|195+8|
1.E4B19D|195+8|
1.E4B19E|195+8|
1.E4B19F|195+8|
1.E4B1A0|195+8|
1.E4B1A1|195+8|
1.E4B1A2|195+8|
1.E4B1A3|195+8|
1.E4B1A4|195+8|
1.E4B1A5|195+8|
1.E4B1A6|195+8|
1.E4B1A7|195+8|
1.E4B1A8|195+8|
1.E4B1A9|195+8|
1.E4B1AA|195+8|
1.E4B1AB|195+9|
1.E4B1AC|195+9|
1.E4B1AD|195+9|
1.E4B1AE|195+9|
1.E4B1AF|195+9|
1.E4B1B0|195+9|
1.E4B1B1|195+9|
1.E4B1B2|195+9|
1.E4B1B3|195+9|
1.E4B1B4|195+9|
1.E4B1B5|195+10|
1.E4B1B6|195+10|
1.E4B1B7|195+10|
1.E4B1B8|195+10|
1.E4B1B9|195+10|
1.E4B1BA|195+10|
1.E4B1BB|195+10|
1.E4B1BC|195+10|
1.E4B1BD|195+10|
1.E4B1BE|195+11|
1.E4B1BF|195+11|
1.E4B280|195+11|
1.E4B281|195+11|
1.E4B282|195+11|
1.E4B283|195+11|
1.E4B284|195+11|
1.E4B285|195+11|
1.E4B286|195+11|
1.E4B287|195+11|
1.E4B288|195+11|
1.E4B289|195+12|
1.E4B28A|195+12|
1.E4B28B|195+12|
1.E4B28C|195+12|
1.E4B28D|195+12|
1.E4B28E|195+12|
1.E4B28F|195+12|
1.E4B290|195+13|
1.E4B291|195+13|
1.E4B292|195+13|
1.E4B293|195+13|
1.E4B294|195+13|
1.E4B295|195+13|
1.E4B296|195+14|
1.E4B297|195+14|
1.E4B298|195+14|
1.E4B299|195+15|
1.E4B29A|195+16|
1.E4B29B|195+16|
1.E4B29C|195+33|
1.E4B29D|195+4|
1.E4B29E|195+5|
1.E4B29F|195+5|
1.E4B2A0|195+9|
1.E4B2A1|195+9|
1.E4B2A2|195+10|
1.E4B2A3|195+10|
1.E4B2A4|195+10|
1.E4B2A5|196+2|
1.E4B2A6|196+3|
1.E4B2A7|196+3|
1.E4B2A8|196+3|
1.E4B2A9|196+3|
1.E4B2AA|196+3|
1.E4B2AB|196+3|
1.E4B2AC|196+4|
1.E4B2AD|196+4|
1.E4B2AE|196+4|
1.E4B2AF|196+4|
1.E4B2B0|196+4|
1.E4B2B1|196+4|
1.E4B2B2|196+4|
1.E4B2B3|196+4|
1.E4B2B4|196+4|
1.E4B2B5|196+4|
1.E4B2B6|196+4|
1.E4B2B7|196+4|
1.E4B2B8|196+4|
1.E4B2B9|196+5|
1.E4B2BA|196+5|
1.E4B2BB|196+5|
1.E4B2BC|196+5|
1.E4B2BD|196+5|
1.E4B2BE|196+5|
1.E4B2BF|196+5|
1.E4B380|196+5|
1.E4B381|196+5|
1.E4B382|196+5|
1.E4B383|196+5|
1.E4B384|196+5|
1.E4B385|196+5|
1.E4B386|196+5|
1.E4B387|196+5|
1.E4B388|196+5|
1.E4B389|196+5|
1.E4B38A|196+5|
1.E4B38B|196+6|
1.E4B38C|196+6|
1.E4B38D|196+6|
1.E4B38E|196+6|
1.E4B38F|196+6|
1.E4B390|196+6|
1.E4B391|196+6|
1.E4B392|196+6|
1.E4B393|196+6|
1.E4B394|196+6|
1.E4B395|196+7|
1.E4B396|196+7|
1.E4B397|196+7|
1.E4B398|196+7|
1.E4B399|196+7|
1.E4B39A|196+7|
1.E4B39B|196+7|
1.E4B39C|196+7|
1.E4B39D|196+8|
1.E4B39E|196+8|
1.E4B39F|196+8|
1.E4B3A0|196+8|
1.E4B3A1|196+8|
1.E4B3A2|196+8|
1.E4B3A3|196+8|
1.E4B3A4|196+8|
1.E4B3A5|196+8|
1.E4B3A6|196+9|
1.E4B3A7|196+9|
1.E4B3A8|196+9|
1.E4B3A9|196+9|
1.E4B3AA|196+9|
1.E4B3AB|196+9|
1.E4B3AC|196+9|
1.E4B3AE|196+9|
1.E4B3AF|196+9|
1.E4B3B0|196+9|
1.E4B3B1|196+10|
1.E4B3B2|196+10|
1.E4B3B3|196+10|
1.E4B3B4|196+10|
1.E4B3B5|196+10|
1.E4B3B6|196+10|
1.E4B3B7|196+11|
1.E4B3B8|196+11|
1.E4B3B9|196+11|
1.E4B3BA|196+11|
1.E4B3BB|196+11|
1.E4B3BC|196+11|
1.E4B3BD|196+11|
1.E4B3BE|196+12|
1.E4B3BF|196+12|
1.E4B480|196+12|
1.E4B481|196+12|
1.E4B482|196+12|
1.E4B483|196+12|
1.E4B484|196+12|
1.E4B485|196+12|
1.E4B486|196+12|
1.E4B487|196+13|
1.E4B488|196+13|
1.E4B489|196+13|
1.E4B48A|196+13|
1.E4B48B|196+13|
1.E4B48C|196+14|
1.E4B48D|196+14|
1.E4B48E|196+15|
1.E4B48F|196+16|
1.E4B490|196+20|
1.E4B491|196+23|
1.E4B492|196+24|
1.E4B493|196+4|
1.E4B494|196+6|
1.E4B495|196+6|
1.E4B496|196+8|
1.E4B497|196+9|
1.E4B498|196+10|
1.E4B499|196+13|
1.E4B6B3|214+4|
1.E4B6B4|214+8|
1.E4B6B5|214+10|
1.E4B6B5|214+10|
1.E4B880|1|
1.E4B881|1+1|
1.E4B882|1+1|
1.E4B883|1+1|
1.E4B884|1+1|
1.E4B885|1+1|
1.E4B886|1+1|
1.E4B887|1+2|
1.E4B888|1+2|
1.E4B889|1+2|
1.E4B88A|1+2|
1.E4B88B|1+2|
1.E4B88C|1+2|
1.E4B88D|1+3|
1.E4B88E|1+2|
1.E4B88F|1+3|
1.E4B890|1+3|
1.E4B891|1+3|
1.E4B892|1+3|
1.E4B893|1+3|
1.E4B894|1+4|
1.E4B895|1+4|
1.E4B896|1+4|
1.E4B898|1+4|
1.E4B899|1+4|
1.E4B89A|1+4|
