KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
mikata, 味方, friend, ally, supporter, 身方, 御方, |mikata|味方|friend, ally, supporter|Noun|Person||||||身方, 御方|
kaizoku, 海賊, pirate, sea robber, , |kaizoku|海賊|pirate, sea robber|Noun|Person|||||||
haiyuu, 俳優, actor, performer, player, , |haiyuu|俳優|actor, performer, player|Noun|Person|||||||
saishi, 妻子, wife and children, , |saishi|妻子|wife and children|Noun|Person|||||||
akanbou, 赤ん坊, baby, infant, , |akanbou|赤ん坊|baby, infant|Noun|Person|||||||
gaikokujin, 外国人, foreigner, alien, , |gaikokujin|外国人|foreigner, alien|Noun|Person|||398||||
ten'in, 店員, store employee, , |ten'in|店員|store employee|Noun|Person|||||||
kyaku, okyaku san, 客, customer, client, guest, , |kyaku, okyaku san|客|customer, client, guest|Noun|Person|||399||||
gomasuri, 胡麻磨り, sycophant, flatterer, ass-kisser, 胡麻すり, |gomasuri|胡麻磨り|sycophant, flatterer, ass-kisser|Noun|Person||||||胡麻すり|
kodomo, 子供, child, , |kodomo|子供|child|Noun|Person|||400, 1288, 1339||||
fudousan'ya, 不動産屋, real estate agent, , |fudousan'ya|不動産屋|real estate agent|Noun|Person|||||||
shujin, 主人, master, , |shujin|主人|master|Noun|Person|||||||
kazoku, 家族, family, , |kazoku|家族|family|Noun|Person|||401||||
akachan, 赤ちゃん, baby, , |akachan|赤ちゃん|baby|Noun|Person|||1335||||
kozou, 小僧, youngster, kozoo, |kozou|小僧|youngster|Noun|Person||||||kozoo|
kikori, 木樵, woodcutter, lumberjack, logger, 木こり, 樵, 樵夫, |kikori|木樵|woodcutter, lumberjack, logger|Noun|Person||||||木こり, 樵, 樵夫|
bijin, 美人, beautiful woman, , |bijin|美人|beautiful woman|Noun|Person|||||||
shoujou, 少女, young lady, little girl, virgin, maiden, daughter, , |shoujou|少女|young lady, little girl, virgin, maiden, daughter|Noun|Person|||||||
toshima, 年増, mature woman, middle-aged woman, , |toshima|年増|mature woman, middle-aged woman|Noun|Person|||||||
shiriai, 知り合い, acquaintance,  知合い, 知り合, 知合, |shiriai|知り合い|acquaintance|Noun|Person|||||| 知合い, 知り合, 知合|
shinseki, 親戚, relative, relation, kin, 親せき, |shinseki|親戚|relative, relation, kin|Noun|Person|||1265|||親せき|
shounen, 少年, boy, juvenile, youth, lad, , |shounen|少年|boy, juvenile, youth, lad|Noun|Person|||||||
chou, 長, head, chief, elder, leader, superiority, , |chou|長|head, chief, elder, leader, superiority|Noun|Person|||||||
testsudai, 手伝い, helper, assistant, help, , |testsudai|手伝い|helper, assistant, help|Noun|Person|||||||
kouchou, 校長, principal, headmaster, , |kouchou|校長|principal, headmaster|Noun|Person|||||||
kachou, 課長, section manager, section chief, , |kachou|課長|section manager, section chief|Noun|Person|Normal hierarchy in Japan: kaishain < kakarichou < buchou < kachou < shachou.||||||
buka, 部下, subordinate person, employee, , |buka|部下|subordinate person, employee|Noun|Person|||||||
akuma, 悪魔, devil, demon, fiend, Satan, evil spirit, , |akuma|悪魔|devil, demon, fiend, Satan, evil spirit|Noun|Person|||||||
inbai, 淫売, prostitute, prostitution, , |inbai|淫売|prostitute, prostitution|Noun|Person|||||||
yokoduna, 横綱, yokozuna (sumo grand champion), , |yokoduna|横綱|yokozuna (sumo grand champion)|Noun|Person|||||||
chikan, 痴漢, masher, molester, pervert, , |chikan|痴漢|masher, molester, pervert|Noun|Person|||||||
kankyaku, 観客, audience, spectators, , |kankyaku|観客|audience, spectators|Noun|Person|||||||
okanemochi, お金持ち, rich person, , |okanemochi|お金持ち|rich person|Noun|Person|||||||
jouin, 乗員, crew, , |jouin|乗員|crew|Noun|Person|||||||
chindon'ya, チンドン屋, traditional Japanese band of sandwitch board advertisers, usually dressed in colorful garb and performing on the streets, , |chindon'ya|チンドン屋|traditional Japanese band of sandwitch board advertisers, usually dressed in colorful garb and performing on the streets|Noun|Person|||||||
senshu, 選手, player (in game), team member, , |senshu|選手|player (in game), team member|Noun|Person|||||||
koukousei, 高校生, senior high school student, , |koukousei|高校生|senior high school student|Noun|Person|||||||
tenshi, 天使, angel, , |tenshi|天使|angel|Noun|Person|||||||
berubooi, ベルボーイ, bellboy, , |berubooi|ベルボーイ|bellboy|Noun|Person|||1340||||
taishi, 大使, embassador, , |taishi|大使|embassador|Noun|Person|||||||
bushi, 武士, warrior, samurai, 士, |bushi|武士|warrior, samurai|Noun|Person||||||士|
koibito, 恋人, lover, sweetheart, , |koibito|恋人|lover, sweetheart|Noun|Person|||||||
chiji, 知事, prefectural governor, , |chiji|知事|prefectural governor|Noun|Person|||||||
kisha, 記者, reporter, , |kisha|記者|reporter|Noun|Person|||||||
bengoshi, 弁護士, lawyer, , |bengoshi|弁護士|lawyer|Noun|Person|||||||
ooya, 大屋, 大家, landlord, landlady, , |ooya|大屋, 大家|landlord, landlady|Noun|Person|||||||
tomo, 友, friend, companion, comrade, pal, , |tomo|友|friend, companion, comrade, pal|Noun|Person|||||||
gakusha, 学者, scholar, , |gakusha|学者|scholar|Noun|Person|||||||
meijin, 名人, master, expert, , |meijin|名人|master, expert|Noun|Person|||||||
tsuwamono, 強者, 兵, soldier, warrior, strong man, exceptional person, man of courage, つわ者, |tsuwamono|強者, 兵|soldier, warrior, strong man, exceptional person, man of courage|Noun|Person||||||つわ者|
heishi, 兵士, soldier, , |heishi|兵士|soldier|Noun|Person|||||||
heitai, 兵隊, soldier, sailor, , |heitai|兵隊|soldier, sailor|Noun|Person|||||||
shinin, 死人, corpse, dead person, , |shinin|死人|corpse, dead person|Noun|Person|||||||
senshi, 戦士, soldier, combattant, warrior, , |senshi|戦士|soldier, combattant, warrior|Noun|Person|||||||
sanzoku, 山賊, bandit, brigand, , |sanzoku|山賊|bandit, brigand|Noun|Person|||||||
dorobou, 泥棒, thief, burglar, robber, theft, , |dorobou|泥棒|thief, burglar, robber, theft|Noun|Person|||||||
moguri, 潜り, diving, diver, , |moguri|潜り|diving, diver|Noun|Person|||||||
shonensei, 初年生, first-year student, freshman, , |shonensei|初年生|first-year student, freshman|Noun|Person|||||||
ninensei, 二年生, second-year student, sophomor, , |ninensei|二年生|second-year student, sophomor|Noun|Person|||||||
tanin, 他人, another person, other people, others, unrelated person (by blood), outsider, stranger, , |tanin|他人|another person, other people, others, unrelated person (by blood), outsider, stranger|Noun|Person|||||||
miuchi, 身内, relatives, one's family, friends, members of the same organization, followers, henchmen, one's whole body, , |miuchi|身内|relatives, one's family, friends, members of the same organization, followers, henchmen, one's whole body|Noun|Person|||||||
sannensei, 三年生, third-year student, , |sannensei|三年生|third-year student|Noun|Person|||||||
jinbutsu, 人物, character, personality, person, man, personage, talented man, , |jinbutsu|人物|character, personality, person, man, personage, talented man|Noun|Person|||||||
joshu, 助手, helper, helpmeet, assistant, tutor, , |joshu|助手|helper, helpmeet, assistant, tutor|Noun|Person|||||||
yonensei, 四年生, fourth-year student, senior, , |yonensei|四年生|fourth-year student, senior|Noun|Person|||||||
hannin, 犯人, offender, criminal, , |hannin|犯人|offender, criminal|Noun|Person|||||||
yarou, 野郎, bastard, asshole, arsehole, son of a bitch, , |yarou|野郎|bastard, asshole, arsehole, son of a bitch|Noun|Person|Male language, derogatory.||||||
gunjin, 軍人, soldier, military personnel, , |gunjin|軍人|soldier, military personnel|Noun|Person|||||||
babaa, 婆, hag, bitch, , |babaa|婆|hag, bitch|Noun|Person|Derogatory.||||||
baba, 婆, old woman, , |baba|婆|old woman|Noun|Person|||||||
samurai, 侍, warrior, samurai, 士, |samurai|侍|warrior, samurai|Noun|Person||||||士|
haisha, 歯医者, dentist, , |haisha|歯医者|dentist|Noun|Person|||||||
kimi, 君, buddy, pal, you, monarch, ruler, sovereign, master, , |kimi|君|buddy, pal, you, monarch, ruler, sovereign, master|Noun|Person|||||||
senpai, 先輩, senior (at work or school), superior, elder, older graduate, progenitor, old-timer, , |senpai|先輩|senior (at work or school), superior, elder, older graduate, progenitor, old-timer|Noun|Person|||||||
kaiin, 会員, member, membership, , |kaiin|会員|member, membership|Noun|Person|||||||
yatsu, 奴, fellow, guy, chap, thing, object, , |yatsu|奴|fellow, guy, chap, thing, object|Noun|Person|Colloquialism.||||||
gaki, ガキ, 餓鬼, brat, kid, preta (hungry ghost), ghoul, , |gaki|ガキ, 餓鬼|brat, kid, preta (hungry ghost), ghoul|Noun|Person|||||||
utsuke mono, 空け者, fool, blockhead, idiot, dunce, , |utsuke mono|空け者|fool, blockhead, idiot, dunce|Noun|Person|||||||
jourou, 上臈, court lady, noblewoman, , |jourou|上臈|court lady, noblewoman|Noun|Person|||||||
seija, 聖者, saint, , |seija|聖者|saint|Noun|Person|||||||
shisha, 死者, casualty, deceased, , |shisha|死者|casualty, deceased|Noun|Person|||||||
hime, 姫, princess, young noble lady, girl, , |hime|姫|princess, young noble lady, girl|Noun|Person|||||||
renchuu, 連中, colleagues, company (of people), those guys, troupe, , |renchuu|連中|colleagues, company (of people), those guys, troupe|Noun|Person|||||||
gaikoukan, 外交官, diplomat, , |gaikoukan|外交官|diplomat|Noun|Person|||||||
boke, ボケ, 惚け, 呆け, idiot, fool, funny man, , |boke|ボケ, 惚け, 呆け|idiot, fool, funny man|Noun|Person|||||||
henge, 変化, goblin, ghost, apparition, bugbear, , |henge|変化|goblin, ghost, apparition, bugbear|Noun|Person|||||||
han'you, 半妖, half-human and half-demon, , |han'you|半妖|half-human and half-demon|Noun|Person|||||||
joujin, 常人, ordinary person, , |joujin|常人|ordinary person|Noun|Person|||||||
kaishain, 会社員, company employee, , |kaishain|会社員|company employee|Noun|Person|Normal hierarchy in Japan: kaishain < kakarichou < buchou < kachou < shachou.||||||
shushou, 首相, Prime Minister, Chancellor, Premier, , |shushou|首相|Prime Minister, Chancellor, Premier|Noun|Person|||||||
untenshu, 運転手, driver, , |untenshu|運転手|driver|Noun|Person|||1277||||
komusume, 小娘, young girl, lass, adolescent female, , |komusume|小娘|young girl, lass, adolescent female|Noun|Person|||||||
buchou, 部長, manager, , |buchou|部長|manager|Noun|Person|Normal hierarchy in Japan: kaishain < kakarichou < buchou < kachou < shachou.||1330||||
nakayoshi, 仲良し, intimate friend, close friend, chum, bosom buddy, , |nakayoshi|仲良し|intimate friend, close friend, chum, bosom buddy|Noun|Person|||||||
shisha, 使者, messenger, envoy, emissary, , |shisha|使者|messenger, envoy, emissary|Noun|Person|||||||
shimin, 市民, citizen, townsperson, townspeople, , |shimin|市民|citizen, townsperson, townspeople|Noun|Person|||||||
kanja, 間者, patient, , |kanja|間者|patient|Noun|Person|||||||
kakarichou, 係長, 掛長, chief clerk, , |kakarichou|係長, 掛長|chief clerk|Noun|Person|Normal hierarchy in Japan: kaishain < kakarichou < buchou < kachou < shachou.||||||
kaichou, 会長, president (of a society), chairman, , |kaichou|会長|president (of a society), chairman|Noun|Person|||||||
doushi, 同士, fellow, companion, comrade, bonding, , |doushi|同士|fellow, companion, comrade, bonding|Noun|Person|||||||
miko, 巫女, shrine maiden, virgin consecrated to a deity, medium, sorceress, , |miko|巫女|shrine maiden, virgin consecrated to a deity, medium, sorceress|Noun|Person|||||||
baka, 馬鹿, バカ, fool, idiot, , |baka|馬鹿, バカ|fool, idiot|Noun|Person|||||||
in, 員, employee, , |in|員|employee|Noun|Person|||||||
douryou, 同僚, colleague, dorio, |douryou|同僚|colleague|Noun|Person||||||dorio|
bonyari, ぼんやり, fool, blockhead, dunce, , |bonyari|ぼんやり|fool, blockhead, dunce|Noun|Person|||||||
otona, 大人, adult, , |otona|大人|adult|Noun|Person|||402||||
haiyuu, 俳優, actor, , |haiyuu|俳優|actor|Noun|Person|||||joyuu||
joyuu, 女優, actress, , |joyuu|女優|actress|Noun|Person|||1360||haiyuu||
kashu, 歌手, singer, , |kashu|歌手|singer|Noun|Person|||||||
geinoujin, 芸能人, celebrity performer, , |geinoujin|芸能人|celebrity performer|Noun|Person|||||||
omawari san, お巡りさん, policeman, , |omawari san|お巡りさん|policeman|Noun|Person|||403||||
keikan, 警官, policeman, , |keikan|警官|policeman|Noun|Person|||||||
keisatsukan, 警察官, policeman, policemen, police officer, , |keisatsukan|警察官|policeman, policemen, police officer|Noun|Person|||||||
gijutsusha, 技術者, engineer, technical expert, tecnician, crafts-person, , |gijutsusha|技術者|engineer, technical expert, tecnician, crafts-person|Noun|Person|||||||
gishi, 技師, engineer, technician, , |gishi|技師|engineer, technician|Noun|Person|||||||
ishi, 医師, doctor, physician, health expert, , |ishi|医師|doctor, physician, health expert|Noun|Person|||||||
enjinia, エンジニア, engineer, , |enjinia|エンジニア|engineer|Noun|Person|||||||
kouhei, 工兵, combat engineer, military engineer, combat engineering, military engineering, , |kouhei|工兵|combat engineer, military engineer, combat engineering, military engineering|Noun|Person|||||||
hitojishi, 人質, hostage, prisoner, , |hitojishi|人質|hostage, prisoner|Noun|Person|||||||
tonari no hito, 隣の人, neighbor, , |tonari no hito|隣の人|neighbor|Noun|Person|||||||
sakka, 作家, writer, author, , |sakka|作家|writer, author|Noun|Person|||||||
iin, 委員, committee member, , |iin|委員|committee member|Noun|Person|||||||
shachou, 社長, company president, , |shachou|社長|company president|Noun|Person|Normal hierarchy in Japan: kaishain < kakarichou < buchou < kachou < shachou.||||||
daitouryou, 大統領, president, chief executive, , |daitouryou|大統領|president, chief executive|Noun|Person|||||||
gaka, 画家, painter, artist, , |gaka|画家|painter, artist|Noun|Person|||||||
tsuukounin, 通行人, pedestrian, , |tsuukounin|通行人|pedestrian|Noun|Person|||||||
shachou, 社長, company manager, boss, , |shachou|社長|company manager, boss|Noun|Person|||404||||
hikiomori, ひきこもり, very antisocial adolescent, , |hikiomori|ひきこもり|very antisocial adolescent|Noun|Person|||||||
isha, oishasan, 医者, お医者さん, doctor, , |isha, oishasan|医者, お医者さん|doctor|Noun|Person|||405||||
roujin, 老人, the aged, old person, , |roujin|老人|the aged, old person|Noun|Person|||157||||
miira, ミイラ, mummy, , |miira|ミイラ|mummy|Noun|Person|As of the embalmed kind.||||||
toshokan, 図書館, library, , |toshokan|図書館|library|Noun|Place|||406||||
gakkou, 学校, school, , |gakkou|学校|school|Noun|Place|||119||||
daigaku, gakuchou, 大学, university, college, , |daigaku, gakuchou|大学|university, college|Noun|Place|||407||||
uchi, ie, 家, house, , |uchi, ie|家|house|Noun|Place|"uchi" is used more familiarly, wheras "ie" is used in a strict sense.||408, 1307||||
honsha, 輔車, headquarters, , |honsha|輔車|headquarters|Noun|Place|||||||
kouban, 交番, police box, , |kouban|交番|police box|Noun|Place|||408||||
depaato, デパート, department store, , |depaato|デパート|department store|Noun|Place|||409||||
ima, 居間, living room, , |ima|居間|living room|Noun|Place|||||||
tengoku, 天国, heaven, paradise, , |tengoku|天国|heaven, paradise|Noun|Place|||||||
jigoku, 地獄, hell, , |jigoku|地獄|hell|Noun|Place|||||||
pari, パリ, Paris, , |pari|パリ|Paris|Noun|Place|||1385||||
fujisan, 富士山, Mount Fuji, , |fujisan|富士山|Mount Fuji|Noun|Place|||1371||||
shinjuku, 新宿, Shinjuku, , |shinjuku|新宿|Shinjuku|Noun|Place|||285, 1413||||
asakusa, 浅草, Asakusa, , |asakusa|浅草|Asakusa|Noun|Place|||||||
toukyou, 東京, Tokyo, , |toukyou|東京|Tokyo|Noun|Place|lit. "eastern capital"||276||||
himaraya, ヒマラヤ, Himalayas, , |himaraya|ヒマラヤ|Himalayas|Noun|Place|||1362||||
firipin, フィリピン, Phillippines, , |firipin|フィリピン|Phillippines|Noun|Place|||||||
kouza, 鉱山, ore mine, , |kouza|鉱山|ore mine|Noun|Place|||||||
kouza, 高山, high mountain, alpine, , |kouza|高山|high mountain, alpine|Noun|Place|||||||
autodoa, アウトオア, outdoors, , |autodoa|アウトオア|outdoors|Noun|Place|||||||
toshi, 都市, town, city, municipality, urban area, , |toshi|都市|town, city, municipality, urban area|Noun|Place|||||||
egoda, 江子田, Egoda, , |egoda|江子田|Egoda|Noun|Place|||||||
taiikukan, 体育館, gymnasium, , |taiikukan|体育館|gymnasium|Noun|Place|||||||
kouza, 高座, platform, stage, upper seat, pulpit, , |kouza|高座|platform, stage, upper seat, pulpit|Noun|Place|||||||
shibuya, 渋谷, Shibuya, , |shibuya|渋谷|Shibuya|Noun|Place|||||||
kenkyuushitsu, 研究室, laboratory, seminar room, professor's office, , |kenkyuushitsu|研究室|laboratory, seminar room, professor's office|Noun|Place|||||||
miitinguruumu, ミーティングルーム, meeting room, , |miitinguruumu|ミーティングルーム|meeting room|Noun|Place|||||||
honkon, 香港, Hong Kong, , |honkon|香港|Hong Kong|Noun|Place|||1363||||
fumikiri, 踏切, railway crossing, railroad crossing, train crossing, level crossing, starting line, scratch, determination, stepping over the edge of the ring (Sumo term), , 踏切り, 踏み切り, 踏み切|fumikiri|踏切|railway crossing, railroad crossing, train crossing, level crossing, starting line, scratch, determination, stepping over the edge of the ring (Sumo term)|Noun|Place|||||||
biyouin, 美容院, beauty parlour, beauty parlor, beauty salon, hairdressing salon, , |biyouin|美容院|beauty parlour, beauty parlor, beauty salon, hairdressing salon|Noun|Place|||||||
onsen, 温泉, spa, hot spring, onsen, , |onsen|温泉|spa, hot spring, onsen|Noun|Place|||||||
nageki no kabe, 嘆きの壁, Western Wall, Wailing Wall, , |nageki no kabe|嘆きの壁|Western Wall, Wailing Wall|Noun|Place|||||||
manshon, マンション, large apartment (from mansion), apartment house, condominium, multistory appartment, , |manshon|マンション|large apartment (from mansion), apartment house, condominium, multistory appartment|Noun|Place|Not to be confused with "mansion" (misnomer).||||||
iki, 域, region, limits, stage level, , |iki|域|region, limits, stage level|Noun|Place|||||||
kyouto, 京都, Kyoto, , |kyouto|京都|Kyoto|Noun|Place|Literally "old city".||279, 1316||||
omotesandou, 表参道, Omotesando, , |omotesandou|表参道|Omotesando|Noun|Place|Very luxurious road in Tokyo.||||||
etsuran shitsu, 閲覧室, inspection room, reading room, , |etsuran shitsu|閲覧室|inspection room, reading room|Noun|Place|||||||
chichuukai, 地中海, Mediterranian Sea, , |chichuukai|地中海|Mediterranian Sea|Noun|Place|||1352||||
rondon, ロンドン, London, , |rondon|ロンドン|London|Noun|Place|||||||
annaijo, 案内所, information desk, , |annaijo|案内所|information desk|Noun|Place|||||||
hiroo, 広尾, Hiroo, , |hiroo|広尾|Hiroo|Noun|Place|||286||||
kyuushuu, 九州, Kyushu, , |kyuushuu|九州|Kyushu|Noun|Place|||284||||
narita, 成田, Narita, , |narita|成田|Narita|Noun|Place|||287||||
hawai, ハワイ, Hawaii, , |hawai|ハワイ|Hawaii|Noun|Place|||288, 1303||||
nara, 奈良, Nara, , |nara|奈良|Nara|Noun|Place|||279||||
nikkou, 日光, Niko, , |nikkou|日光|Niko|Noun|Place|||279||||
roppongi, 六本木, Roppongi, , |roppongi|六本木|Roppongi|Noun|Place|||280||||
asakusa, 浅草, Asakusa, , |asakusa|浅草|Asakusa|Noun|Place|Oldest temple in Tokyo.||||||
morikawa, 森川, Morikawa, , |morikawa|森川|Morikawa|Noun|Place|||281||||
oosaka, 大阪, Osaka, , |oosaka|大阪|Osaka|Noun|Place|||||||
kobayashi, 小林, Kobayashi, , |kobayashi|小林|Kobayashi|Noun|Place|||282||||
shinkansen, 新幹線, Shinkansen, , |shinkansen|新幹線|Shinkansen|Noun|Place|||283, 1372||||
hokkaidou, 北海道, Hokkaido, , |hokkaidou|北海道|Hokkaido|Noun|Place|||284||||
yamanotesen, 山の手線, Yamanotesen line, , |yamanotesen|山の手線|Yamanotesen line|Noun|Place|||||||
satou, 佐藤, Satou, , |satou|佐藤|Satou|Noun|Place|||1330||||
ooyama, 大山, Ooyama, , |ooyama|大山|Ooyama|Noun|Place|||||||
shingapooru, シンガポール, Singapore, , |shingapooru|シンガポール|Singapore|Noun|Place|||284||||
robii, ロビー, lobby, , |robii|ロビー|lobby|Noun|Place|||||||
touyou, 東洋, the Orient, , |touyou|東洋|the Orient|Noun|Place|||||||
chuutou, 中東, the Middle East, , |chuutou|中東|the Middle East|Noun|Place|||||||
byoushitsu, 病室, sick room, hospital room, , |byoushitsu|病室|sick room, hospital room|Noun|Place|||||||
ajia, アジア, Asia, , |ajia|アジア|Asia|Noun|Place|||||||
shinbun'ya, 新聞屋, newspaper stand, newpaper seller, paper carrier, newspaper company, , |shinbun'ya|新聞屋|newspaper stand, newpaper seller, paper carrier, newspaper company|Noun|Place|||||||
jikoku, 自国, one's own country, , |jikoku|自国|one's own country|Noun|Place|||||||
chiten, 地点, site, point on a map, spot, , |chiten|地点|site, point on a map, spot|Noun|Place|||||||
chijou, 地上, above ground, , |chijou|地上|above ground|Noun|Place|||||||
dou, 堂, temple, shrine, , |dou|堂|temple, shrine|Noun|Place|||||||
kakou, 火口, crater, cldera, burner (on a furnace), , |kakou|火口|crater, cldera, burner (on a furnace)|Noun|Place|||||||
hatake, 畑, 畠, field, cultivated land, vegetable plot, kitchen garden, plantation, specialization, sphere, , |hatake|畑, 畠|field, cultivated land, vegetable plot, kitchen garden, plantation, specialization, sphere|Noun|Place|||||||
kinkou, 近郊, suburbs, outskirts, , |kinkou|近郊|suburbs, outskirts|Noun|Place|||||||
chuugakkou, 中学校, junior high school, middle school, lower secondary school, , |chuugakkou|中学校|junior high school, middle school, lower secondary school|Noun|Place|||||||
shou, 商, dealer, store, , |shou|商|dealer, store|Noun|Place|||||||
seimon, 正門, main gate, main entrance, , |seimon|正門|main gate, main entrance|Noun|Place|||||||
kenkyuusho, 研究所, reseach establishment (institute, laboratory, …), , |kenkyuusho|研究所|reseach establishment (institute, laboratory, …)|Noun|Place|||||||
tokoya, 床屋, barbershop, barber's, , |tokoya|床屋|barbershop, barber's|Noun|Place|||||||
yane, 屋根, roof, , |yane|屋根|roof|Noun|Place|||1328, 1362||||
ku, 区, ward, district, section, , |ku|区|ward, district, section|Noun|Place|||||||
chiku, 地区, district, section, sector, , |chiku|地区|district, section, sector|Noun|Place|||||||
suri, 掏摸, pickpocket, 掏り, |suri|掏摸|pickpocket|Noun|Place||||||掏り|
chuugaku, 中学, junior high school, middle school, lower secondary school, , |chuugaku|中学|junior high school, middle school, lower secondary school|Noun|Place|Abbreviation for "chuugakkou".||||||
hiroba, 広場, plaza, (public) square, piazza, forum, open space, , |hiroba|広場|plaza, (public) square, piazza, forum, open space|Noun|Place|||||||
kaijou, 会場, assembly hall, meeting place, venue, grounds, , |kaijou|会場|assembly hall, meeting place, venue, grounds|Noun|Place|||||||
kankouannaijo, 観光案内所, tourist information center, , |kankouannaijo|観光案内所|tourist information center|Noun|Place|||1218||tourist information centre||
houdou, 歩道, footpath, walkway, sidewalk, , |houdou|歩道|footpath, walkway, sidewalk|Noun|Place|||||||
ido, 井戸, water well, , |ido|井戸|water well|Noun|Place|||||||
hoomu, ホーム, platform, , |hoomu|ホーム|platform|Noun|Place|||1319||||
koudou, 講堂, auditorium, , |koudou|講堂|auditorium|Noun|Place|||||||
shima, tou, 島, island, insula, islet, 嶋, |shima, tou|島|island, insula, islet|Noun|Place|||1334|||嶋|
tochi, 土地, plot of land, lot, soil, , |tochi|土地|plot of land, lot, soil|Noun|Place|||||||
kyoukai, 教会, church, , |kyoukai|教会|church|Noun|Place|||||||
okujou, 屋上, rooftop, , |okujou|屋上|rooftop|Noun|Place|||||||
kougai, 郊外, suburb, outskirts, , |kougai|郊外|suburb, outskirts|Noun|Place|||||||
hama, 浜, beach, seashore, riverside, riverbank, captures pieces (in the game of go), , |hama|浜|beach, seashore, riverside, riverbank, captures pieces (in the game of go)|Noun|Place|||||||
daiyokujo, 大浴場, large public bath, , |daiyokujo|大浴場|large public bath|Noun|Place|||||||
renpou, 連峰, mountain range, , |renpou|連峰|mountain range|Noun|Place|||||||
kazan, 火山, volcano, , |kazan|火山|volcano|Noun|Place|||||||
mizuumi, 湖, lake, , |mizuumi|湖|lake|Noun|Place|||||||
koukou, 高校, senior high school, , |koukou|高校|senior high school|Noun|Place|||||||
oudanhodou, 横断歩道, pedestrian crossing, crosswalk, , |oudanhodou|横断歩道|pedestrian crossing, crosswalk|Noun|Place|||||||
jikka, 実家, (one's parents') home, , |jikka|実家|(one's parents') home|Noun|Place|||||||
rouka, 廊下, corridor, hallway, passageway, , |rouka|廊下|corridor, hallway, passageway|Noun|Place|||||||
kitchin, キチン, kitchen, , |kitchin|キチン|kitchen|Noun|Place|||||||
yuka, 床, floor, stage, , |yuka|床|floor, stage|Noun|Place|||||||
chihou, 地方, area, locality, district, region, province, countryside, rural area, , |chihou|地方|area, locality, district, region, province, countryside, rural area|Noun|Place|||||||
chika, 地下, basement, cellar, underground place, , |chika|地下|basement, cellar, underground place|Noun|Place|||||||
daidokoro, 台所, kitchen, , |daidokoro|台所|kitchen|Noun|Place|||410||||
sushiya, 寿司屋, sushi restaurant, , |sushiya|寿司屋|sushi restaurant|Noun|Place|||411||||
mise, omise, 店, お店, store, , |mise, omise|店, お店|store|Noun|Place|||412||||
chiiki, 地域, neighborhood, neighbourhood, , |chiiki|地域|neighborhood, neighbourhood|Noun|Place|||||||
kinjo, 近所, neighborhood, neighbourhood, , |kinjo|近所|neighborhood, neighbourhood|Noun|Place|||||||
chikaku, 近く, neighborhood, neighbourhood, vicinity, near, , |chikaku|近く|neighborhood, neighbourhood, vicinity, near|Noun|Place|||413||||
tatemono, biru, 建物, ビル, building, , |tatemono, biru|建物, ビル|building|Noun|Place|||414, 415||||
shawaa, シャワー, shower, , |shawaa|シャワー|shower|Noun|Place|||416||||
puuru, プール, swimming pool, , |puuru|プール|swimming pool|Noun|Place|||417||||
shouken gaisha, 証券会社, securities company, , |shouken gaisha|証券会社|securities company|Noun|Place|||156||||
eigakan, 映画館, movie theater, , |eigakan|映画館|movie theater|Noun|Place|||418, 1301||||
eki, 駅, station, , |eki|駅|station|Noun|Place|As of transportation only||419, 132, 1300, 1302, 1307||||
tera, otera, お寺, temple, , |tera, otera|お寺|temple|Noun|Place|||1293||||
jinja, uchi, 神社, Shinto shrine, , |jinja, uchi|神社|Shinto shrine|Noun|Place|||||||
ryokan, 旅館, traditional japanese inn, , |ryokan|旅館|traditional japanese inn|Noun|Place|||420, 1277, 1307||||
baiten, 売店, shop, stand, kiosk, , |baiten|売店|shop, stand, kiosk|Noun|Place|||1302||||
kissaten, 喫茶店, coffee shop, , |kissaten|喫茶店|coffee shop|Noun|Place|||421||||
shokudou, 食堂, cafeteria, dining room, dining hall, messroom, restaurant, snack bar, diner, , |shokudou|食堂|cafeteria, dining room, dining hall, messroom, restaurant, snack bar, diner|Noun|Place|||422||||
resutoran, レストラン, restaurant, , |resutoran|レストラン|restaurant|Noun|Place|||423||||
pan'ya, パン屋, bakery, , |pan'ya|パン屋|bakery|Noun|Place|||424||||
niwa, 庭, garden, , |niwa|庭|garden|Noun|Place|||425||||
shokubutsuen, 植物園, botanical garden, , |shokubutsuen|植物園|botanical garden|Noun|Place|||||||
yama, 山, mountain, hill, mine, , |yama|山|mountain, hill, mine|Noun|Place|||426, 1377||||
doori, 通り, street, , |doori|通り|street|Noun|Place|||||||
shanai, 車内, inside of a train or car, , |shanai|車内|inside of a train or car|Noun|Place|||||||
toi, 樋, trough, gutter, water pipe, flume, chute, , |toi|樋|trough, gutter, water pipe, flume, chute|Noun|Place|||||||
yoso, 他所, another place, somewhere else, strange parts, outside (one's family or group), those people, , |yoso|他所|another place, somewhere else, strange parts, outside (one's family or group), those people|Noun|Place|||||||
shanai, 社内, in-house, within a company, , |shanai|社内|in-house, within a company|Noun|Place|||||||
sabaku, 砂漠, desert, , |sabaku|砂漠|desert|Noun|Place|||||||
kouji, 麹, 糀, lane, alley, , |kouji|麹, 糀|lane, alley|Noun|Place|||||||
